ticker,alpha_id,historical_mapping,current_evidence,agent_confidence,final_exposure,unique_evidence_fact_count,ticker_specific_fact_count,distinct_supporting_agent_count,would_block_dominant,would_block_regime_level,override_candidate,qualification_effect_applied,mode,seed_approval_status
SNDK,A001,0.45,0.0,0.0,0.225,0,0,0,True,True,False,False,shadow,draft
SNDK,A003,0.55,0.0,0.65,0.405,1,0,1,False,True,False,False,shadow,draft
SNDK,A101,0.35,0.0,0.0,0.175,0,0,0,True,True,False,False,shadow,draft
SNDK,A102,0.25,0.0,0.0,0.125,0,0,0,True,True,False,False,shadow,draft
SNDK,A103,0.45,0.0,0.0,0.225,0,0,0,True,True,False,False,shadow,draft
SNDK,A201,0.8,0.0,0.55,0.51,2,0,1,False,True,False,False,shadow,draft
SNDK,A301,0.7,0.0,0.4,0.43,1,0,1,False,True,False,False,shadow,draft
SNDK,A304,0.75,0.0,0.4,0.455,2,0,2,False,True,False,False,shadow,draft
SNDK,A501,0.6,0.21395,0.5,0.46418499999999996,2,1,2,False,True,False,False,shadow,draft
SNDK,A601,0.6,0.0,0.5666666666666667,0.41333333333333333,4,0,3,False,True,False,False,shadow,draft
