alpha_id,activation_before,activation_after,delta,status_before,status_after,local_edge_count_before,local_edge_count_after
A001,0.0,0.0,0.0,inactive,inactive,0,0
A003,23.0993,23.0993,0.0,inactive,inactive,0,0
A101,59.9074,74.8928,14.9854,active,dominant,0,2
A102,24.2666,24.2666,0.0,inactive,inactive,0,0
A103,35.9139,45.9139,10.0,watch,watch,0,1
A201,62.5678,61.2101,-1.3577,active,active,0,0
A301,66.4936,66.4936,0.0,active,active,0,0
A304,65.4177,55.2356,-10.1821,active,active,0,1
A501,23.8373,23.8373,0.0,inactive,inactive,0,0
A601,66.9109,66.9109,0.0,active,active,0,0
